ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,75,1位,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,1115.0,486.0,522.0,107.0
2,75,2位,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,840.0,284.0,450.0,106.0
3,75,3位,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,783.0,398.0,304.0,81.0
4,75,4位,セ・阿佐谷           ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ 660.0点  355.0点  250.0点,3位 ザバス鶴見           ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ       783.0点  398.0点  304.0点   81.0点,55.0,0,0,0
5,75,5位,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,400.0,289.0,98.0,13.0
6,75,6位,セ・慶應日吉         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋヨシ 384.0点  232.0点  125.0点,5位 セ・清瀬             ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ       400.0点  289.0点   98.0点   13.0点,27.0,0,0,0
7,75,7位,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,363.0,127.0,225.0,11.0
8,75,8位,セ・松戸             ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ 332.0点   83.0点  248.0点,7位 セ・葛西             ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ       363.0点  127.0点  225.0点   11.0点,1.0,0,0,0
9,75,9位,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,316.0,165.0,148.0,3.0
10,75,10位,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,302.0,134.0,148.0,20.0
11,75,11位,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,290.0,135.0,146.0,9.0
12,75,12位,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,278.0,98.0,176.0,4.0
13,75,12位,セ・長津田           ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾞﾐﾅﾐﾀﾞｲ 278.0点  127.0点   98.0点,12位 セ・おおたか         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ   278.0点   98.0点  176.0点    4.0点,53.0,0,0,0
14,75,14位,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,259.0,188.0,52.0,19.0
15,75,15位,セ・千葉みなと,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾁﾊﾞﾐﾅﾄ,253.0,113.0,131.0,9.0
16,75,16位,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,249.0,137.0,89.0,23.0
17,75,17位,セ・大宮宮原         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵミﾔミﾔハラ 242.0点  158.0点   65.0点,16位 セ・市ヶ尾           ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ    249.0点  137.0点   89.0点   23.0点,19.0,0,0,0
18,75,18位,セ・南千住,ｾ・ｳｪﾙﾈﾙｸﾗﾌﾞﾐﾅミｾﾝｼﾞｭ,190.0,78.0,107.0,5.0
19,75,19位,セ・我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,157.0,59.0,94.0,4.0
20,75,20位,セ・柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,149.0,83.0,60.0,6.0
21,75,21位,セ・用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,146.0,76.0,46.0,24.0
22,75,22位,セ・成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞナルセ,144.0,78.0,45.0,21.0
23,75,23位,セ・目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞメｸﾞﾛ,133.0,20.0,107.0,6.0
24,75,24位,セ・流山             ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞナガレヤマ 121.0点   81.0点   40.0点,23位 セ・目黒             ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞメｸﾞﾛ     133.0点   20.0点  107.0点    6.0点,0.0,0,0,0
25,75,25位,セ・八王子           ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞハチオウジ 108.0点   81.0点   27.0点,24位 セ・流山             ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞナガレヤマ 121.0点   81.0点   40.0点    0.0点,0.0,0,0,0
26,75,26位,セ・谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヤツ,107.0,38.0,49.0,20.0
27,75,27位,セ・蒲田             ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞカマタ 106.0点   43.0点   53.0点,26位 セ・谷津             ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヤツ      107.0点   38.0点   49.0点   20.0点,10.0,0,0,0
