round,pool_type,race_no,gender,event_name,age_group,world_record,japan_record,meet_record,rank,athlete_name,team_name,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,points_w,points_n,dive_time,lap_times,is_dnf
77,長水路,1,女子,200m自由形,85～89歳,3:14.51,3:14.51,4:28.56,1,森川タエ子,セ・我孫子,1/5,4:46.08,286.08,False,False,False,,,1.19,,False
77,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,4:12.00,1,佐藤由利子,セ・用賀,3/2,3:47.95,227.95,True,False,False,,,0.92,"51.39,1:49.29,2:48.57",False
77,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,4:12.00,2,安澤イソ子,セ・市ヶ尾,1/7,4:24.85,264.85,False,False,False,,,1.01,"56.13,2:00.04,3:10.61",False
77,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,4:12.00,3,御手洗ヨシ,CS南行徳,1/6,4:36.70,276.7,False,False,False,,,1.06,"56.03,2:05.91,3:22.07",False
77,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,1,竹原君枝,セ・慶應日吉,3/9,3:44.09,224.09,False,False,False,,,0.92,"52.29,1:49.11,2:46.99",False
77,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,1,中平信子,セ・成瀬,5/1,3:14.00,194.0,False,False,False,,,0.85,"44.15,1:33.48,2:24.60",False
77,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,2,青砥美智子,セ・葛西,5/9,3:35.16,215.16,False,False,False,,,1.05,"49.60,1:42.94,2:39.08",False
77,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,3,岡村悦子,セ・おおたか,4/9,3:38.29,218.29,False,False,False,,,1.05,"50.85,1:47.35,2:46.19",False
77,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,4,大熊正子,セ・桶川北本,2/4,3:52.45,232.45,False,False,False,,,0.88,"50.79,1:49.78,2:52.00",False
77,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,5,菅井道子,セ・戸塚,2/3,4:08.62,248.62,False,False,False,,,0.85,"59.40,2:02.84,3:08.61",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,1,菅野泰子,セ・葛西,7/3,2:55.35,175.35,False,False,False,,,0.86,"40.54,1:25.25,2:10.59",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,2,森谷登志江,セ・慶應日吉,5/5,3:13.36,193.36,False,False,False,,,0.86,"43.55,1:31.46,2:22.96",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,3,山崎京子,セ・横浜,6/7,3:16.58,196.57999999999998,False,False,False,,,0.98,"46.43,1:36.82,2:28.51",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,4,育村博子,セ・おおたか,5/8,3:22.48,202.48,False,False,False,,,0.86,"47.37,1:38.09,2:31.86",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,5,久松葉子,セ・成瀬,4/4,3:27.53,207.53,False,False,False,,,1.14,"47.53,1:40.75,2:34.98",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,6,森本美恵,セ・松戸,4/3,3:33.44,213.44,False,False,False,,,0.92,"48.86,1:42.74,2:40.15",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,7,石河久美子,セ・溝ノ口,4/8,3:34.64,214.64,False,False,False,,,0.77,"49.71,1:43.64,2:39.75",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,8,臼井希代子,セ・大宮宮原,4/2,3:34.65,214.65,False,False,False,,,1.03,"47.74,1:41.90,2:39.02",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,9,日和久美子,セ・戸塚,4/10,3:42.07,222.07,False,False,False,,,0.98,"53.11,1:49.50,2:47.51",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,10,岡田美恵子,セ・溝ノ口,3/3,3:53.14,233.14,False,False,False,,,0.9,"52.80,1:50.37,2:50.24",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,11,三嶋祐子,セ・阿佐谷,2/6,4:03.71,243.71,False,False,False,,,0.95,"54.00,1:54.36,2:57.73",False
77,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,12,大西和子,セ・天王洲,1/4,4:37.24,277.24,False,False,False,,,1.07,,False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,1,石井裕美,セ・ときわ台,7/4,2:58.32,178.32,False,False,False,,,0.76,"40.38,1:26.20,2:14.74",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,2,岡田眞弓,セ・清瀬,4/7,3:06.16,186.16,False,False,False,,,0.86,"43.07,1:30.79,2:19.74",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,3,伊藤みどり,セ・能見台,6/9,3:11.60,191.6,False,False,False,,,0.86,"41.89,1:28.98,2:19.61",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,4,高橋久美,セ・市川,6/2,3:15.23,195.23,False,False,False,,,0.76,"44.14,1:33.49,2:23.43",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,5,草森理子,セ・成城,4/1,3:21.87,201.87,False,False,False,,,0.75,"45.85,1:38.15,2:31.10",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,6,盛田真規子,セ・二俣川,5/2,3:26.33,206.32999999999998,False,False,False,,,0.75,"46.46,1:39.40,2:34.02",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,7,山中恵子,セ・桶川北本,3/7,3:27.70,207.7,False,False,False,,,0.99,"45.32,1:38.32,2:34.28",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,8,宮内麻里,曽谷・セ,4/5,3:31.11,211.11,False,False,False,,,1.07,"52.18,1:46.08,2:40.75",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,9,清水孝子,セ・福生,3/5,3:41.52,221.52,False,False,False,,,0.92,"49.21,1:43.98,2:43.61",False
77,長水路,1,女子,200m自由形,60～64歳,2:21.03,2:31.90,2:35.22,10,久保とし子,セ・長津田,2/5,3:46.82,226.82,False,False,False,,,0.96,"48.02,1:44.90,2:45.59",False
