round,pool_type,race_no,gender,event_name,age_group,world_record,japan_record,meet_record,rank,athlete_name,team_name,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,points_w,points_n,dive_time,lap_times,is_dnf
78,長水路,1,女子,200m自由形,85～89歳,3:14.51,3:14.51,4:28.56,1,森川タエ子,セ・我孫子,1/9,4:48.51,288.51,False,False,False,,,1.26,"1:08.41,2:22.59,3:37.21",False
78,長水路,1,女子,200m自由形,85～89歳,3:14.51,3:14.51,4:28.56,2,熊谷一枝,セ・天王洲,1/1,5:12.44,312.44,False,False,False,,,1.21,"1:04.16,2:21.84,3:45.90",False
78,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,1,佐藤由利子,セ・用賀,3/3,3:49.20,229.2,False,False,False,,,1.03,"52.36,1:49.84,2:50.16",False
78,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,2,内田良子,セ・用賀,2/8,3:51.63,231.63,False,False,False,,,0.95,"53.55,1:53.81,2:54.64",False
78,長水路,1,女子,200m自由形,80～84歳,3:05.95,3:05.95,3:47.95,3,安澤イソ子,セ・市ヶ尾,1/3,4:33.85,273.85,False,False,False,,,0.92,"55.93,2:01.96,3:15.78",False
78,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,1,柴崎徳子,セ・柏,2/5,3:47.69,227.69,False,False,False,,,1.17,"51.45,1:48.98,2:47.63",False
78,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,2,竹原君枝,セ・慶應日吉,3/5,3:48.85,228.85,False,False,False,,,1.14,"53.31,1:50.94,2:50.75",False
78,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,3,松木弘美,セ・志木,1/6,4:15.61,255.61,False,False,False,,,0.89,"56.41,2:00.96,3:06.76",False
78,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,4,馬場悦子,セ・清瀬,1/5,4:22.52,262.52,False,False,False,,,1.1,"57.03,2:01.22,3:11.63",False
78,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,3:05.67,1,菅野泰子,セ・葛西,6/6,2:58.84,178.84,True,False,False,,,0.68,"42.25,1:28.73,2:15.81",False
78,長水路,1,女子,200m自由形,70～74歳,2:29.56,2:49.80,3:05.67,2,青木華世子,セ・松戸,6/1,3:08.16,188.16,False,False,False,,,0.82,"42.47,1:31.31,2:20.75",False
