round,pool_type,race_no,gender,event_name,age_group,world_record,japan_record,meet_record,rank,athlete_name,team_name,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,points_w,points_n,dive_time,lap_times,is_dnf
75,長水路,1,女子,200m自由形,85～89歳,3:18.23,3:18.23,4:28.56,1,森川タエ子,セ・我孫子,1/10,4:39.10,279.1,False,False,False,,,,"1:04.98,2:18.17,3:30.02",False
75,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,1,柴崎徳子,セ・柏,2/4,3:38.28,218.28,False,False,False,,,,"49.74,1:43.95,2:40.61",False
75,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,2,藤井一恵,セ・大森,2/1,3:38.90,218.9,False,False,False,,,,"50.62,1:46.09,2:44.57",False
75,長水路,1,女子,200m自由形,75～79歳,2:54.26,2:54.26,3:32.08,3,馬場悦子,セ・清瀬,1/9,3:58.33,238.32999999999998,False,False,False,,,,"53.53,1:53.84,2:56.93",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,1,中平信子,セ・成瀬,4/7,3:06.42,186.42,False,False,False,,,,"42.96,1:30.34,2:18.96",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,2,山本恵,セ・流山,2/6,3:30.79,210.79,False,False,False,,,,"43.26,1:33.86,2:31.99",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,3,岡村悦子,セ・おおたか,2/8,3:31.88,211.88,False,False,False,,,,"46.88,1:42.49,2:38.59",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,4,相澤史子,セ・松戸,2/5,3:36.49,216.49,False,False,False,,,,"48.56,1:42.97,2:40.47",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,5,堀口三恵子,セ・二俣川,1/5,3:36.62,216.62,False,False,False,,,,"49.63,1:45.82,2:43.31",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,6,長野愛子,セ・柏,2/10,3:40.46,220.46,False,False,False,,,,"50.00,1:45.53,2:43.58",False
75,長水路,1,女子,200m自由形,70～74歳,2:29.72,2:49.80,3:05.67,7,菅井道子,セ・戸塚,1/7,3:49.18,229.18,False,False,False,,,,"54.30,1:53.23,2:52.71",False
75,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,1,菅野泰子,セ・松戸,5/6,2:54.45,174.45,False,False,False,,,,"39.42,1:23.94,2:09.88",False
75,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,2,鈴木公江,ｾ・千葉みなと,4/8,3:16.57,196.57,False,False,False,,,,"42.88,1:31.31,2:23.73",False
75,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,3,吉野治子,セ・成城,4/3,3:18.13,198.13,False,False,False,,,,"43.63,1:33.16,2:26.08",False
75,長水路,1,女子,200m自由形,65～69歳,2:25.29,2:42.91,2:54.20,4,森谷登志江,セ・慶應日吉,4/2,3:19.40,199.4,False,False,False,,,,"44.89,1:33.63,2:26.39",False
